days,times,value,Gram_Staining ,,,,
1,1,13.76916595,negative,,,,
2,1,6.954687086,negative,,,,
3,1,0,negative,,,,
4,1,1.620372554,negative,,,,
5,1,11.59114514,negative,,,,
6,1,13.74575108,negative,,,,
7,1,13.68471457,negative,,,,
8,1,8.060763429,negative,,,,
9,1,13.74575108,negative,,,,
10,1,6.954687086,positive,,,,
11,1,9.272916115,positive,,,,
12,1,1.959130808,positive,,,,
13,1,3.424305372,positive,,,,
14,1,6.954687086,positive,,,,
15,1,0,positive,,,,
16,1,1.620372554,positive,,,,
1,2,6.954687086,negative,,,,
2,2,7.652543561,negative,,,,
3,2,2.318229029,negative,,,,
4,2,9.368873839,negative,,,,
5,2,6.032171006,negative,,,,
6,2,7.138247349,negative,,,,
7,2,8.57505964,negative,,,,
8,2,4.636458057,negative,,,,
9,2,7.652543561,negative,,,,
10,2,6.032171006,positive,,,,
11,2,6.730027481,positive,,,,
12,2,4.636458057,positive,,,,
13,2,3.424305372,positive,,,,
14,2,6.954687086,positive,,,,
15,2,9.611674369,positive,,,,
16,2,9.272916115,positive,,,,
1,3,7.427883955,negative,,,,
2,3,3.016085503,negative,,,,
3,3,1.959130808,negative,,,,
4,3,9.272916115,negative,,,,
5,3,4.636458057,negative,,,,
6,3,6.954687086,negative,,,,
7,3,7.652543561,negative,,,,
8,3,4.636458057,negative,,,,
9,3,6.032171006,negative,,,,
10,3,2.093569423,positive,,,,
11,3,4.530381714,positive,,,,
12,3,0,positive,,,,
13,3,0,positive,,,,
14,3,4.636458057,positive,,,,
15,3,9.272916115,positive,,,,
16,3,10.66862906,positive,,,,
